Kiosque,Ville,Implantation,Segment,Ruptures_sum,Ruptures_mean,Ruptures_min,Ruptures_max,Gravity
160164,Dignac,Dans La Rue,Presse Tabac (Hors Bar),83,29%,0,1,1
160170,Genneville,Dans La Rue,Presse Tabac (Hors Bar),52,26%,0,1,1
160173,Hiersac,Dans La Rue,Presse Tabac (Hors Bar),69,25%,0,1,1
160175,Jarnac,Dans La Rue,Presse Tabac (Hors Bar),83,32%,0,1,1
160176,Jarnac,Dans La Rue,Presse Tabac (Hors Bar),49,16%,0,1,0
160189,Couronne,Ccial Avec Hyp.,Kiosques,88,29%,0,1,1
160195,Rochefoucauld,Dans La Rue,Enseignes/Concepts,47,15%,0,1,0
160196,Rivières,Ccial Avec Hyp.,Presse Et Connexes,94,31%,0,1,1
160208,Fontclaireau,Dans La Rue,Bars (Dont Tabac),26,15%,0,1,0
160217,Montbron,Dans La Rue,Enseignes/Concepts,88,30%,0,1,1
160219,Montignac-Charente,Dans La Rue,Presse Tabac (Hors Bar),13,4%,0,1,-1
160222,Montmoreau-Saint-Cybard,Dans La Rue,Enseignes/Concepts,53,17%,0,1,0
160227,Mouthiers-sur-Boëme,Ds Superette,Alimentation,17,6%,0,1,-1
160228,Nanteuil-en-Vallée,Epicerie,Presse Tabac (Hors Bar),92,30%,0,1,1
160231,Nersac,Dans La Rue,Presse Tabac (Hors Bar),53,20%,0,1,0
160232,Saint-Saturnin,Dans La Rue,Presse Tabac (Hors Bar),2,1%,0,1,-1
160244,Rouillac,Dans La Rue,Presse Librairie Papeterie,73,24%,0,1,1
160250,Roumazières-Loubert,Ds Supermarche,Rayons Supermarches,56,23%,0,1,1
160255,Magnac-sur-Touvre,Dans La Rue,Presse Tabac (Hors Bar),60,20%,0,1,0
160256,Ruelle-sur-Touvre,Dans La Rue,Presse Tabac (Hors Bar),77,25%,0,1,1
160257,Ruelle-sur-Touvre,Dans La Rue,Presse Tabac (Hors Bar),1,3%,0,1,-1
160260,Ruffec,Dans La Rue,Enseignes/Concepts,29,20%,0,1,0
160261,Ruffec,Dans La Rue,Presse Tabac (Hors Bar),1,100%,1,1,1
160262,Ruffec,Dans La Rue,Presse Tabac (Hors Bar),8,10%,0,1,-1
160263,Ruffec,Ds Hypermarche,Rayons Hypermarches,95,31%,0,1,1
160267,Segonzac,Dans La Rue,Presse Tabac (Hors Bar),86,33%,0,1,1
160290,Saint-Séverin,Dans La Rue,Presse Tabac (Hors Bar),38,13%,0,1,-1
160295,Vars,Dans La Rue,Presse Tabac (Hors Bar),1,14%,0,1,0
160301,Villebois-Lavalette,Dans La Rue,Presse Tabac (Hors Bar),46,16%,0,1,0
160302,Villefagnan,Dans La Rue,Presse Et Connexes,82,27%,0,1,1
160307,Angoulême,Ccial Avec Hyp.,Presse Et Connexes,64,21%,0,1,0
160308,Barbezieux-Saint-Hilaire,Dans La Rue,Presse Tabac (Hors Bar),58,20%,0,1,0
160362,Barbezieux-Saint-Hilaire,Ccial Avec Hyp.,Presse Librairie Papeterie,72,24%,0,1,1
160363,Cognac,Ccial Avec Hyp.,Presse Et Connexes,36,12%,0,1,-1
160376,Jarnac,Ds Hypermarche,Rayons Hypermarches,131,42%,0,1,1
160392,Barbezieux-Saint-Hilaire,Ds Hypermarche,Rayons Hypermarches,32,10%,0,1,-1
160393,Angoulême,Ccial Avec Hyp.,Presse Et Connexes,71,24%,0,1,1
160395,Angoulême,Dans La Rue,Presse Tabac (Hors Bar),50,17%,0,1,0
160415,Montbron,Ccial Avec Sup.,Presse Et Connexes,82,27%,0,1,1
160417,Puymoyen,Dans La Rue,Presse Tabac (Hors Bar),47,18%,0,1,0
160421,Angoulême,Ds Supermarche,Rayons Supermarches,36,16%,0,1,0
160422,Segonzac,Ds Supermarche,Rayons Supermarches,78,25%,0,1,1
160423,Lupsault,Epicerie,Presse Tabac (Hors Bar),106,44%,0,1,1
160426,Rochefoucauld,Dans La Rue,Presse Tabac (Hors Bar),22,7%,0,1,-1
160432,Cognac,Ds Hypermarche,Rayons Hypermarches,53,17%,0,1,0
160445,Jarnac,Dans La Rue,Presse Tabac (Hors Bar),4,12%,0,1,-1
160448,Roumazières-Loubert,Ds Supermarche,Rayons Supermarches,0,0%,0,0,-1
160455,Rivières,Ds Supermarche,Rayons Supermarches,55,23%,0,1,1
160462,Gond-Pontouvre,Dans La Rue,Presse Tabac (Hors Bar),1,25%,0,1,1
160464,Mansle,Ds Supermarche,Rayons Supermarches,5,7%,0,1,-1
160471,Rouillac,Ds Hypermarche,Rayons Hypermarches,67,22%,0,1,0
