Date,Delivered,Sales,code_dept
11-2014,22003.0,11517.0,14
12-2014,23302.0,12115.0,14
01-2015,22726.0,11988.0,14
02-2015,21904.0,11680.0,14
03-2015,18234.0,10207.0,14
04-2015,28662.0,15711.0,14
05-2015,26644.0,14113.0,14
06-2015,22963.0,13151.0,14
07-2015,44499.0,26514.0,14
08-2015,46024.0,28847.0,14
09-2015,29443.0,14105.0,14
10-2015,30597.0,14370.0,14
11-2015,26230.0,11176.0,14
12-2015,22903.0,12094.0,14
01-2016,21439.0,9264.0,14
02-2016,22456.0,9920.0,14
03-2016,22399.0,11080.0,14
04-2016,25104.0,12777.0,14
05-2016,23317.0,11594.0,14
06-2016,23077.0,11390.0,14
07-2016,38917.0,22713.0,14
08-2016,45592.0,28295.0,14
09-2016,26002.0,12769.0,14
10-2016,25387.0,12684.0,14
11-2016,25081.0,10557.0,14
12-2016,22441.0,11358.0,14
01-2014,2808.0,1265.0,15
02-2014,2638.0,1277.0,15
03-2014,3386.0,1606.0,15
04-2014,3530.0,1625.0,15
05-2014,3540.0,1701.0,15
06-2014,3350.0,1677.0,15
07-2014,6427.0,3657.0,15
08-2014,7433.0,4699.0,15
09-2014,5461.0,2323.0,15
10-2014,3862.0,1833.0,15
11-2014,3597.0,1439.0,15
12-2014,3639.0,1449.0,15
01-2015,3442.0,1465.0,15
02-2015,2718.0,1373.0,15
03-2015,2817.0,1251.0,15
04-2015,3336.0,1527.0,15
05-2015,3706.0,1475.0,15
06-2015,3895.0,1687.0,15
07-2015,6405.0,3426.0,15
08-2015,7488.0,4343.0,15
09-2015,4796.0,2162.0,15
10-2015,4310.0,1902.0,15
11-2015,4116.0,1599.0,15
12-2015,3431.0,1405.0,15
01-2016,3143.0,1223.0,15
02-2016,3210.0,1373.0,15
03-2016,3399.0,1430.0,15
04-2016,3227.0,1508.0,15
05-2016,3249.0,1517.0,15
06-2016,3403.0,1689.0,15
07-2016,5148.0,2946.0,15
08-2016,6960.0,4063.0,15
09-2016,4423.0,1974.0,15
10-2016,3965.0,1817.0,15
11-2016,4340.0,1592.0,15
12-2016,3720.0,1385.0,15
01-2014,6417.0,3549.0,16
02-2014,6192.0,3227.0,16
03-2014,7088.0,4013.0,16
04-2014,7520.0,4022.0,16
05-2014,7147.0,3700.0,16
06-2014,6338.0,3486.0,16
07-2014,8659.0,4553.0,16
08-2014,7978.0,4852.0,16
09-2014,7721.0,4013.0,16
10-2014,7512.0,3834.0,16
11-2014,6210.0,3335.0,16
12-2014,6470.0,3418.0,16
01-2015,7167.0,3877.0,16
02-2015,5972.0,3194.0,16
03-2015,6749.0,3384.0,16
04-2015,7076.0,3410.0,16
05-2015,6383.0,3130.0,16
06-2015,6433.0,3230.0,16
07-2015,7385.0,3911.0,16
08-2015,7756.0,3952.0,16
09-2015,6735.0,3439.0,16
10-2015,7583.0,3460.0,16
11-2015,7250.0,3131.0,16
12-2015,6327.0,3156.0,16
01-2016,6131.0,2935.0,16
02-2016,6405.0,2986.0,16
03-2016,6580.0,3053.0,16
04-2016,6116.0,2932.0,16
05-2016,6333.0,2987.0,16
06-2016,6621.0,3101.0,16
07-2016,7604.0,3507.0,16
08-2016,7627.0,3800.0,16
09-2016,7678.0,3195.0,16
10-2016,7506.0,3069.0,16
11-2016,8003.0,3147.0,16
12-2016,7457.0,3111.0,16
01-2014,18072.0,10480.0,17
02-2014,17261.0,10011.0,17
03-2014,22403.0,13221.0,17
04-2014,33595.0,18991.0,17
05-2014,30186.0,16335.0,17
06-2014,28082.0,16688.0,17
07-2014,58554.0,35237.0,17
08-2014,58171.0,41246.0,17
09-2014,38921.0,22260.0,17
10-2014,30086.0,14879.0,17
11-2014,19162.0,10524.0,17
12-2014,19814.0,10705.0,17
01-2015,18501.0,10585.0,17
02-2015,17101.0,9715.0,17
03-2015,18233.0,10574.0,17
04-2015,30941.0,15817.0,17
05-2015,28368.0,14674.0,17
06-2015,28378.0,16141.0,17
07-2015,52847.0,31960.0,17
08-2015,56881.0,34611.0,17
09-2015,36179.0,17756.0,17
10-2015,29999.0,13764.0,17
11-2015,25120.0,9429.0,17
12-2015,20113.0,9830.0,17
01-2016,18924.0,8499.0,17
02-2016,20031.0,8985.0,17
03-2016,21991.0,10387.0,17
04-2016,25431.0,13283.0,17
05-2016,25303.0,11995.0,17
06-2016,26868.0,14117.0,17
07-2016,50353.0,27974.0,17
08-2016,54400.0,32224.0,17
09-2016,35376.0,16190.0,17
10-2016,27756.0,12263.0,17
11-2016,25941.0,10315.0,17
12-2016,21982.0,9571.0,17
01-2014,7458.0,2953.0,18
02-2014,7364.0,2733.0,18
03-2014,7243.0,3493.0,18
04-2014,7909.0,3605.0,18
05-2014,7748.0,3356.0,18
06-2014,6944.0,2984.0,18
07-2014,8018.0,4008.0,18
08-2014,7994.0,4308.0,18
09-2014,6706.0,3414.0,18
10-2014,6977.0,3289.0,18
11-2014,6382.0,2892.0,18
12-2014,6296.0,2843.0,18
01-2015,6483.0,3155.0,18
02-2015,5389.0,2636.0,18
03-2015,4965.0,2575.0,18
04-2015,6503.0,2851.0,18
05-2015,5910.0,2762.0,18
06-2015,5735.0,2670.0,18
07-2015,7584.0,3339.0,18
08-2015,7275.0,3192.0,18
09-2015,6352.0,2699.0,18
10-2015,6781.0,2888.0,18
11-2015,6846.0,2674.0,18
12-2015,6100.0,2739.0,18
01-2016,5493.0,2332.0,18
02-2016,5368.0,2311.0,18
03-2016,5545.0,2447.0,18
04-2016,5339.0,2553.0,18
05-2016,5237.0,2410.0,18
06-2016,5424.0,2618.0,18
07-2016,6242.0,3182.0,18
08-2016,6080.0,3279.0,18
09-2016,6253.0,2716.0,18
10-2016,6088.0,2690.0,18
11-2016,6580.0,2733.0,18
12-2016,5858.0,2519.0,18
01-2014,5254.0,2655.0,19
02-2014,4834.0,2540.0,19
03-2014,5810.0,3310.0,19
04-2014,6507.0,3522.0,19
05-2014,6383.0,3330.0,19
06-2014,6033.0,3222.0,19
07-2014,8762.0,4722.0,19
